,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Novembre_2017,7.055,11.456,15.580,414.889,60.350,51.617,1.480.386,14.628,105.023,21.855,2.597,162.367,34.111,12.042,394.384,13.423,63.868,2.865.631
Dicembre_2017,6.333,9.311,14.582,422.400,52.003,65.196,1.368.352,12.695,102.309,34.027,2.665,298.088,29.381,7.960,397.336,18.100,58.067,2.898.805
Totale_regione_2017,123.461,250.420,489.202,8.814.091,1.098.993,1.281.735,23.081.787,258.901,1.853.565,496.995,79.391,2.629.512,751.379,559.520,7.059.746,248.206,1.092.412,50.169.316
Gennaio_2018,5.539,7.012,10.402,353.649,42.642,42.995,1.358.659,13.852,92.629,19.359,2.365,181.108,24.255,9.225,340.483,12.236,52.482,2.568.892
Febbraio_2018,5.903,5.390,11.117,625.500,48.987,30.481,1.646.715,16.061,88.275,13.486,1.420,122.964,24.125,6.813,398.494,10.538,65.542,3.121.811
Marzo_2018,10.164,14.986,25.589,974.723,82.362,101.982,2.348.709,15.617,141.338,42.490,3.750,192.248,48.740,12.649,616.572,19.556,95.747,4.747.222
Aprile_2018,17.737,39.068,56.168,1.443.646,199.260,176.259,2.488.420,41.536,243.981,89.706,13.918,387.899,123.069,50.050,827.643,44.700,124.162,6.367.222
Maggio_2018,19.511,40.302,64.137,1.424.261,152.826,153.279,2.549.625,39.132,231.977,70.715,13.541,265.815,130.137,69.027,822.251,31.558,110.676,6.188.770
Giugno_2018,13.678,27.654,45.182,1.091.890,78.927,99.462,2.437.875,18.967,163.173,43.419,9.342,172.743,70.900,59.712,740.486,26.249,78.628,5.178.287
Luglio_2018,16.087,17.981,54.550,1.070.136,69.764,104.444,2.225.356,23.202,182.212,51.926,7.332,152.330,56.147,72.135,750.181,31.652,73.370,4.958.805
Agosto_2018,25.540,38.308,113.834,1.122.498,84.876,133.329,2.376.427,37.347,199.263,81.813,16.035,231.398,94.932,93.463,760.734,43.576,81.997,5.535.370
Settembre_2018,14.963,24.759,49.357,1.159.108,94.742,116.427,2.199.940,25.217,184.175,50.026,5.896,203.975,84.958,74.658,759.698,28.650,89.119,5.165.668
Ottobre_2018,9.599,23.272,30.334,1.120.586,104.685,90.008,2.336.920,28.602,159.237,28.717,3.680,258.980,66.248,37.031,675.050,23.075,98.728,5.094.752
Novembre_2018,7.707,12.472,18.591,466.623,84.172,57.058,1.522.035,15.753,127.417,26.991,2.950,212.025,40.250,9.604,460.850,17.090,63.114,3.144.702
